,source,target,type,url,content
254,HCD,AN2V,est membre,https://an2v.org/membres/,
255,HIKVISION,AN2V,est membre,https://an2v.org/membres/,
256,HIKVISION,PERIFEM,est membre de,https://www.hatvp.fr/fiche-organisation/?organisation=321702755,
257,HIKVISION,cameras,est fabriquant de,https://www.hikvision.com/fr/core-technologies/ai-analytics/facial-recognition/,
258,HUAWEI,ville de Valenciennes,est utilisé par,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/cion-cedu/l16cion-cedu2223034_compte-rendu,
259,IBS’ON,AN2V,est membre,https://an2v.org/membres/,
260,IDEMIA,reconnaissance faciale,fonctionnalité,https://www2.assemblee-nationale.fr/content/download/82754/922439/version/1/file/Note+Scientifique+-+Reconnaissance+Faciale+-+VF+19072019.pdf,
261,IDEMIA,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=340709534#&fiche=DVSJ8S8V,
262,IDEMIA IDENTITY SECURITY,UGAP,est fourni par,https://www.ugap.fr/idemia-f17257,
263,IDEMIA IDENTITY SECURITY,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722,
264,IER,UGAP,est fourni par,https://www.ugap.fr/impression-f2137,
265,IER,BOLLORE,a pour actionnaire,https://www.ugap.fr/impression-f2137,
266,IER,verbalisation électronique,fonctionnalité,https://www.ugap.fr/impression-f2137,
267,IFOTEC,AN2V,est membre,https://an2v.org/membres/,
268,INCORESOFT,MILESTONE,fonctionne avec,https://www.milestonesys.com/technology-partner-finder/incoresoft-llc/vezha-gender-and-age-detection/,
269,INCORESOFT,reconnaissance faciale,fonctionnalité,https://incoresoft.com/products/face-recognition/,
270,INFINOVA,cameras,est fabriquant de,https://issuu.com/securitymiddleeastmagazine/docs/sme_jan_feb_2019_web2/32,
271,INKIVARI,AN2V,est membre,https://an2v.org/membres/,
272,INLO,AN2V,est membre,https://an2v.org/membres/,
273,INOA SOLUTIONS,AN2V,est membre,https://an2v.org/membres/,
274,INVISSYS,AN2V,est membre,https://an2v.org/membres/,
275,IPARTNER,UGAP,est fourni par,https://www.ugap.fr/ipartner-f19445,
