source,target,type,url
FIDUCIAL SECURITE,AN2V,est membre,https://an2v.org/membres/
FIDUCIAL SECURITE,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722
FORMIND,AN2V,est membre,https://an2v.org/membres/
FOXSTREAM,AN2V,est membre,https://an2v.org/membres/
FRANCOFA-EURODIS,AN2V,est membre,https://an2v.org/membres/
GAARD,AN2V,est membre,https://an2v.org/membres/
GAVEAU A.M.O.,AN2V,est membre,https://an2v.org/membres/
GEMALTO,reconnaissance faciale,fonctionnalité,https://www2.assemblee-nationale.fr/content/download/82754/922439/version/1/file/Note+Scientifique+-+Reconnaissance+Faciale+-+VF+19072019.pdf
GEMALTO,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=502999626#&fiche=19V0ML5H
GENETEC,PERIFEM,est membre de,https://www.hatvp.fr/fiche-organisation/?organisation=321702755
GENETEC,VMS - hyperviseur,fonctionnalité,
GENETEC,WINTICS,fonctionne avec,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger
GENETEC,XXII GROUP,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/xxii
GENETEC,ULTINOUS,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/ultinous
GENETEC,VIISIGHTS,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/viisights
GENETEC,ONEBERRY,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/oneberry
GENETEC,VAIDIO,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/ironyun/vaidio
GENETEC,OMNILERT,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/omnilert/omnilert-gun-detect
GENETEC,I-PRO,fonctionne avec,https://www.genetec.com/partners/partner-integration-hub/i-pro/activeguard
GIORDANA INGENIERIE,AN2V,est membre,https://an2v.org/membres/
GOSECURE,AN2V,est membre,https://an2v.org/membres/
GROUPE PERIN SÉCURITÉ,AN2V,est membre,https://an2v.org/membres/
GROUPE PERIN SÉCURITÉ,PERIFEM,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=321702755
HANWHA TECHWIN,AN2V,est membre,https://an2v.org/membres/
HANWHA TECHWIN,PERIFEM,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=321702755
HARPER INGENIERIE,AN2V,est membre,https://an2v.org/membres/
HCD,AN2V,est membre,https://an2v.org/membres/
HIKVISION,AN2V,est membre,https://an2v.org/membres/
HIKVISION,PERIFEM,est membre de,https://www.hatvp.fr/fiche-organisation/?organisation=321702755
HIKVISION,cameras,est fabriquant de,https://www.hikvision.com/fr/core-technologies/ai-analytics/facial-recognition/
HUAWEI,ville de Valenciennes,est utilisé par,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/cion-cedu/l16cion-cedu2223034_compte-rendu
IBS’ON,AN2V,est membre,https://an2v.org/membres/
IDEMIA,reconnaissance faciale,fonctionnalité,https://www2.assemblee-nationale.fr/content/download/82754/922439/version/1/file/Note+Scientifique+-+Reconnaissance+Faciale+-+VF+19072019.pdf
IDEMIA,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=340709534#&fiche=DVSJ8S8V
IDEMIA IDENTITY SECURITY,UGAP,est fourni par,https://www.ugap.fr/idemia-f17257
IDEMIA IDENTITY SECURITY,GICAT,est membre,https://www.hatvp.fr/fiche-organisation/?organisation=344322722
IER,UGAP,est fourni par,https://www.ugap.fr/impression-f2137
IER,BOLLORE,a pour actionnaire,https://www.ugap.fr/impression-f2137
IER,verbalisation électronique,fonctionnalité,https://www.ugap.fr/impression-f2137
IFOTEC,AN2V,est membre,https://an2v.org/membres/
INCORESOFT,MILESTONE,fonctionne avec,https://www.milestonesys.com/technology-partner-finder/incoresoft-llc/vezha-gender-and-age-detection/
INCORESOFT,reconnaissance faciale,fonctionnalité,https://incoresoft.com/products/face-recognition/
INFINOVA,cameras,est fabriquant de,https://issuu.com/securitymiddleeastmagazine/docs/sme_jan_feb_2019_web2/32
INKIVARI,AN2V,est membre,https://an2v.org/membres/
INLO,AN2V,est membre,https://an2v.org/membres/
INOA SOLUTIONS,AN2V,est membre,https://an2v.org/membres/
INVISSYS,AN2V,est membre,https://an2v.org/membres/
IPARTNER,UGAP,est fourni par,https://www.ugap.fr/ipartner-f19445
IPARTNER,vidéo verbalisation,fonctionnalité,fiche_19445_Fiche_produit_IPARTNER_VIDEOVERBALISATION_FR.pdf|fiche_19445_Fiche_produit_IPARTNER_DUTYLOG_FR.pdf
IPARTNER,VMS - hyperviseur,fonctionnalité,https://www.ugap.fr/ipartner-f19445
IPARTNER,MILESTONE,fonctionne avec,fiche_19445_Fiche_produit_IPARTNER_DATACONNECTOR_FR.pdf
I-PRO,AN2V,est membre,https://an2v.org/membres/
I-PRO,MILESTONE,fonctionne avec,https://www.milestonesys.com/fr/technology-partner-finder/i-pro--co.-ltd/i-pro-active-guard-plug-in-for-xprotect/
I-PRO,Analyse vidéo,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/i-pro/activeguard
I-PRO,reconnaissance faciale,fonctionnalité,https://www.genetec.com/partners/partner-integration-hub/i-pro/activeguard
